employee_id,benefit_type,benefit_amount,start_date,end_date
53,Health Insurance,2392,2024-07-19,2025-07-19
54,Retirement Fund,4166,2014-12-23,2015-12-23
54,Life Insurance,1126,2015-10-24,2016-10-23
54,Life Insurance,4000,2017-05-17,2018-05-17
54,Life Insurance,2453,2018-01-25,2019-01-25
54,Health Insurance,1719,2019-05-15,2020-05-14
54,Retirement Fund,2510,2020-06-19,2021-06-19
54,Retirement Fund,2843,2021-05-11,2022-05-11
54,Retirement Fund,3834,2022-05-21,2023-05-21
54,Life Insurance,3748,2023-01-27,2024-01-27
54,Retirement Fund,1548,2024-04-02,2025-04-02
55,Health Insurance,3020,2015-07-16,2016-07-15
55,Health Insurance,2535,2016-01-11,2017-01-10
55,Health Insurance,4574,2017-05-20,2018-05-20
55,Life Insurance,2957,2018-06-23,2019-06-23
55,Life Insurance,1168,2018-08-11,2019-08-11
55,Retirement Fund,4417,2020-07-01,2021-07-01
55,Retirement Fund,2350,2021-05-15,2022-05-15
55,Retirement Fund,4899,2022-03-26,2023-03-26
55,Life Insurance,4839,2023-05-10,2024-05-09
55,Life Insurance,1219,2024-03-03,2025-03-03
56,Life Insurance,2151,2015-06-21,2016-06-20
56,Life Insurance,2739,2015-10-10,2016-10-09
56,Life Insurance,3117,2017-02-27,2018-02-27
56,Retirement Fund,2042,2018-05-07,2019-05-07
56,Retirement Fund,1434,2018-12-24,2019-12-24
56,Life Insurance,4182,2019-12-10,2020-12-09
56,Health Insurance,3919,2021-03-14,2022-03-14
56,Life Insurance,2160,2021-11-19,2022-11-19
56,Health Insurance,2136,2023-07-04,2024-07-03
56,Life Insurance,2806,2023-10-18,2024-10-17
57,Life Insurance,4893,2015-06-15,2016-06-14
57,Health Insurance,3258,2016-07-19,2017-07-19
57,Retirement Fund,3522,2017-02-09,2018-02-09
57,Life Insurance,2562,2018-04-08,2019-04-08
57,Health Insurance,1556,2019-01-08,2020-01-08
57,Health Insurance,1273,2020-03-30,2021-03-30
57,Life Insurance,2453,2021-06-01,2022-06-01
57,Health Insurance,4984,2022-05-29,2023-05-29
57,Life Insurance,3608,2023-01-07,2024-01-07
57,Health Insurance,3217,2024-07-29,2025-07-29
58,Health Insurance,4383,2015-02-01,2016-02-01
58,Health Insurance,2572,2016-08-03,2017-08-03
58,Retirement Fund,4651,2017-06-23,2018-06-23
58,Health Insurance,3148,2018-07-25,2019-07-25
58,Life Insurance,2361,2018-08-14,2019-08-14
58,Life Insurance,4689,2020-03-25,2021-03-25
58,Retirement Fund,1729,2020-12-11,2021-12-11
58,Health Insurance,4504,2022-07-22,2023-07-22
58,Life Insurance,2052,2023-01-15,2024-01-15
58,Life Insurance,4506,2023-12-26,2024-12-25
59,Health Insurance,1271,2014-10-29,2015-10-29
59,Health Insurance,3349,2016-05-22,2017-05-22
59,Retirement Fund,4857,2017-06-29,2018-06-29
59,Life Insurance,2332,2017-09-19,2018-09-19
59,Life Insurance,2807,2019-02-28,2020-02-28
59,Health Insurance,1564,2020-08-04,2021-08-04
59,Health Insurance,2023,2020-08-21,2021-08-21
59,Health Insurance,1447,2021-10-23,2022-10-23
59,Life Insurance,1868,2023-03-20,2024-03-19
59,Life Insurance,4990,2024-05-04,2025-05-04
60,Life Insurance,2399,2014-12-23,2015-12-23
60,Health Insurance,1283,2016-03-12,2017-03-12
60,Health Insurance,1186,2016-10-27,2017-10-27
60,Retirement Fund,1986,2017-10-13,2018-10-13
60,Health Insurance,1825,2018-11-30,2019-11-30
60,Retirement Fund,2687,2019-11-17,2020-11-16
60,Health Insurance,2126,2021-01-20,2022-01-20
60,Health Insurance,2772,2021-10-07,2022-10-07
60,Retirement Fund,1311,2022-11-14,2023-11-14
60,Health Insurance,1764,2023-10-13,2024-10-12
61,Health Insurance,3266,2015-03-28,2016-03-27
61,Health Insurance,4260,2016-04-24,2017-04-24
61,Retirement Fund,4317,2017-04-19,2018-04-19
61,Life Insurance,1239,2018-07-25,2019-07-25
61,Retirement Fund,2374,2019-03-15,2020-03-14
61,Life Insurance,3252,2019-11-01,2020-10-31
61,Life Insurance,1219,2020-11-03,2021-11-03
61,Life Insurance,2357,2022-02-15,2023-02-15
61,Health Insurance,4167,2022-10-14,2023-10-14
61,Retirement Fund,1463,2024-03-09,2025-03-09
62,Health Insurance,4703,2015-02-14,2016-02-14
62,Health Insurance,3477,2016-04-26,2017-04-26
62,Life Insurance,4457,2016-12-08,2017-12-08
62,Health Insurance,4200,2017-11-16,2018-11-16
62,Health Insurance,2429,2018-12-28,2019-12-28
62,Health Insurance,2153,2019-09-17,2020-09-16
62,Health Insurance,4681,2021-04-18,2022-04-18
62,Life Insurance,1686,2022-07-16,2023-07-16
62,Retirement Fund,2459,2023-01-28,2024-01-28
62,Retirement Fund,3851,2023-12-28,2024-12-27
63,Retirement Fund,4341,2014-08-23,2015-08-23
63,Retirement Fund,4736,2015-08-11,2016-08-10
63,Retirement Fund,3140,2017-02-13,2018-02-13
63,Retirement Fund,3475,2017-12-12,2018-12-12
63,Life Insurance,2017,2019-07-21,2020-07-20
63,Life Insurance,4505,2019-11-22,2020-11-21
63,Life Insurance,2658,2020-11-08,2021-11-08
63,Retirement Fund,2502,2022-07-18,2023-07-18
63,Life Insurance,3307,2022-10-08,2023-10-08
63,Retirement Fund,3736,2023-08-10,2024-08-09
64,Life Insurance,3521,2014-12-10,2015-12-10
64,Retirement Fund,4726,2016-07-16,2017-07-16
64,Retirement Fund,3866,2016-10-25,2017-10-25
64,Health Insurance,2911,2017-12-13,2018-12-13
64,Retirement Fund,4873,2019-03-19,2020-03-18
64,Retirement Fund,2719,2020-05-16,2021-05-16
64,Life Insurance,3014,2021-03-22,2022-03-22
64,Retirement Fund,4302,2022-01-28,2023-01-28
64,Life Insurance,4106,2022-12-03,2023-12-03
64,Life Insurance,1587,2024-02-16,2025-02-15
65,Health Insurance,1610,2015-06-28,2016-06-27
65,Retirement Fund,4767,2016-03-13,2017-03-13
65,Life Insurance,2574,2017-05-19,2018-05-19
65,Health Insurance,3135,2018-07-22,2019-07-22
65,Health Insurance,3771,2018-10-07,2019-10-07
65,Life Insurance,1321,2020-07-24,2021-07-24
65,Health Insurance,3221,2020-08-21,2021-08-21
65,Health Insurance,3874,2021-08-30,2022-08-30
65,Retirement Fund,1899,2023-02-25,2024-02-25
65,Health Insurance,4684,2024-02-05,2025-02-04
66,Life Insurance,3375,2015-04-24,2016-04-23
66,Retirement Fund,2065,2015-08-14,2016-08-13
66,Health Insurance,1221,2017-06-25,2018-06-25
66,Health Insurance,1219,2018-06-28,2019-06-28
66,Life Insurance,3136,2018-08-29,2019-08-29
66,Life Insurance,4167,2020-03-19,2021-03-19
66,Retirement Fund,1023,2021-02-05,2022-02-05
66,Health Insurance,4616,2021-09-02,2022-09-02
66,Health Insurance,1251,2023-04-02,2024-04-01
66,Retirement Fund,4542,2024-08-01,2025-08-01
67,Retirement Fund,1064,2015-01-04,2016-01-04
67,Retirement Fund,3475,2016-07-17,2017-07-17
67,Health Insurance,4822,2016-10-13,2017-10-13
67,Life Insurance,4068,2018-04-17,2019-04-17
67,Retirement Fund,4026,2018-09-15,2019-09-15
67,Retirement Fund,3761,2019-12-21,2020-12-20
67,Life Insurance,4754,2021-06-29,2022-06-29
67,Health Insurance,1986,2022-07-03,2023-07-03
67,Health Insurance,4376,2023-07-09,2024-07-08
67,Retirement Fund,4726,2023-08-20,2024-08-19
68,Retirement Fund,4031,2015-02-03,2016-02-03
68,Retirement Fund,3542,2016-06-15,2017-06-15
68,Health Insurance,2203,2016-10-15,2017-10-15
68,Health Insurance,2248,2018-01-09,2019-01-09
68,Life Insurance,1229,2018-09-10,2019-09-10
68,Retirement Fund,2786,2020-05-16,2021-05-16
68,Health Insurance,4554,2020-10-09,2021-10-09
68,Health Insurance,3962,2021-11-06,2022-11-06
68,Health Insurance,4840,2023-07-07,2024-07-06
68,Retirement Fund,3922,2023-09-24,2024-09-23
69,Retirement Fund,4941,2015-01-15,2016-01-15
69,Health Insurance,4094,2016-02-14,2017-02-13
69,Life Insurance,4692,2017-02-18,2018-02-18
69,Health Insurance,2921,2018-01-13,2019-01-13
69,Health Insurance,1972,2018-10-25,2019-10-25
69,Health Insurance,3401,2019-10-24,2020-10-23
69,Life Insurance,3612,2020-09-05,2021-09-05
69,Life Insurance,2887,2021-08-30,2022-08-30
69,Health Insurance,1044,2022-09-29,2023-09-29
69,Health Insurance,3616,2024-06-20,2025-06-20
70,Retirement Fund,4535,2015-04-24,2016-04-23
70,Retirement Fund,3840,2015-09-21,2016-09-20
70,Retirement Fund,4576,2017-05-02,2018-05-02
70,Life Insurance,3961,2018-05-10,2019-05-10
70,Life Insurance,1544,2019-06-16,2020-06-15
70,Life Insurance,1147,2020-06-24,2021-06-24
70,Retirement Fund,2001,2020-08-21,2021-08-21
70,Health Insurance,4957,2022-08-05,2023-08-05
70,Health Insurance,2968,2023-03-13,2024-03-12
70,Retirement Fund,3997,2024-04-24,2025-04-24
71,Retirement Fund,2827,2014-11-15,2015-11-15
71,Health Insurance,1537,2016-03-16,2017-03-16
71,Retirement Fund,2627,2017-06-17,2018-06-17
71,Retirement Fund,1647,2017-12-17,2018-12-17
71,Life Insurance,1119,2019-03-09,2020-03-08
71,Health Insurance,2164,2019-09-05,2020-09-04
71,Retirement Fund,3156,2020-10-10,2021-10-10
71,Retirement Fund,1067,2021-12-22,2022-12-22
71,Health Insurance,2564,2023-07-09,2024-07-08
71,Life Insurance,1776,2023-10-25,2024-10-24
72,Retirement Fund,3707,2015-05-15,2016-05-14
72,Health Insurance,4883,2016-04-13,2017-04-13
72,Health Insurance,2482,2017-04-23,2018-04-23
72,Life Insurance,1902,2018-04-14,2019-04-14
72,Retirement Fund,4744,2019-07-12,2020-07-11
72,Retirement Fund,4274,2020-03-04,2021-03-04
72,Life Insurance,2493,2021-04-01,2022-04-01
72,Retirement Fund,2741,2021-09-20,2022-09-20
72,Health Insurance,3708,2022-10-18,2023-10-18
72,Health Insurance,4192,2024-06-18,2025-06-18
73,Health Insurance,3282,2014-11-09,2015-11-09
73,Life Insurance,1301,2016-01-07,2017-01-06
73,Health Insurance,2051,2016-09-09,2017-09-09
73,Retirement Fund,2972,2018-07-24,2019-07-24
73,Life Insurance,1740,2019-01-07,2020-01-07
73,Retirement Fund,4575,2020-04-28,2021-04-28
73,Health Insurance,2559,2021-06-11,2022-06-11
73,Health Insurance,3831,2022-04-22,2023-04-22
73,Life Insurance,2810,2022-10-07,2023-10-07
73,Retirement Fund,4941,2023-11-08,2024-11-07
74,Health Insurance,3109,2015-07-15,2016-07-14
74,Retirement Fund,3546,2016-03-23,2017-03-23
74,Life Insurance,1396,2017-02-03,2018-02-03
74,Life Insurance,4680,2018-02-27,2019-02-27
74,Life Insurance,1977,2018-10-14,2019-10-14
74,Life Insurance,1607,2020-02-19,2021-02-18
74,Retirement Fund,3783,2021-04-03,2022-04-03
74,Life Insurance,4249,2022-06-02,2023-06-02
74,Retirement Fund,2247,2022-09-13,2023-09-13
74,Retirement Fund,2595,2024-03-03,2025-03-03
75,Life Insurance,3897,2015-06-08,2016-06-07
75,Health Insurance,3382,2015-11-11,2016-11-10
75,Life Insurance,4928,2016-08-28,2017-08-28
75,Retirement Fund,2699,2017-12-01,2018-12-01
75,Retirement Fund,2749,2018-08-14,2019-08-14
75,Health Insurance,1437,2019-09-30,2020-09-29
75,Life Insurance,1456,2020-10-02,2021-10-02
75,Life Insurance,3580,2022-05-05,2023-05-05
75,Life Insurance,2975,2023-02-23,2024-02-23
75,Retirement Fund,1521,2023-11-15,2024-11-14
76,Retirement Fund,3409,2015-04-08,2016-04-07
76,Retirement Fund,2033,2015-08-22,2016-08-21
76,Life Insurance,4933,2016-08-29,2017-08-29
76,Health Insurance,4045,2018-02-07,2019-02-07
76,Retirement Fund,1819,2019-05-25,2020-05-24
76,Retirement Fund,4305,2020-02-07,2021-02-06
76,Retirement Fund,4387,2021-01-11,2022-01-11
76,Life Insurance,2092,2021-10-06,2022-10-06
76,Health Insurance,2695,2023-04-15,2024-04-14
76,Life Insurance,4367,2024-02-22,2025-02-21
77,Life Insurance,1269,2015-05-14,2016-05-13
77,Life Insurance,2195,2016-05-03,2017-05-03
77,Health Insurance,2367,2017-07-02,2018-07-02
77,Retirement Fund,2394,2018-06-13,2019-06-13
77,Health Insurance,4039,2019-03-28,2020-03-27
77,Retirement Fund,4578,2020-05-22,2021-05-22
77,Retirement Fund,4120,2021-01-26,2022-01-26
77,Retirement Fund,1722,2021-08-07,2022-08-07
77,Retirement Fund,2181,2023-03-16,2024-03-15
77,Retirement Fund,1893,2024-07-05,2025-07-05
78,Health Insurance,2508,2014-12-14,2015-12-14
78,Retirement Fund,3677,2016-03-28,2017-03-28
78,Health Insurance,2649,2016-11-29,2017-11-29
78,Life Insurance,1569,2018-01-15,2019-01-15
78,Retirement Fund,4790,2019-07-08,2020-07-07
78,Health Insurance,1544,2020-04-22,2021-04-22
78,Health Insurance,4738,2021-08-01,2022-08-01
78,Retirement Fund,4976,2022-06-23,2023-06-23
78,Retirement Fund,4231,2022-11-12,2023-11-12
78,Health Insurance,1670,2024-04-14,2025-04-14
79,Retirement Fund,2252,2014-11-29,2015-11-29
79,Retirement Fund,3071,2016-05-27,2017-05-27
79,Retirement Fund,1676,2017-06-25,2018-06-25
79,Retirement Fund,4629,2018-04-18,2019-04-18
79,Life Insurance,3834,2019-06-04,2020-06-03
79,Health Insurance,3046,2019-09-09,2020-09-08
79,Life Insurance,2571,2021-04-12,2022-04-12
79,Health Insurance,2918,2021-09-14,2022-09-14
79,Health Insurance,4002,2023-02-18,2024-02-18
79,Life Insurance,3182,2023-11-04,2024-11-03
80,Life Insurance,1513,2014-09-13,2015-09-13
80,Retirement Fund,1398,2015-09-12,2016-09-11
80,Retirement Fund,4085,2017-06-27,2018-06-27
80,Retirement Fund,3105,2017-12-14,2018-12-14
80,Retirement Fund,4356,2019-05-10,2020-05-09
80,Retirement Fund,1780,2020-01-17,2021-01-16
80,Life Insurance,1179,2020-11-05,2021-11-05
80,Health Insurance,2394,2021-12-24,2022-12-24
80,Health Insurance,4988,2023-04-26,2024-04-25
80,Health Insurance,1795,2023-11-23,2024-11-22
81,Health Insurance,3381,2014-11-04,2015-11-04
81,Health Insurance,4248,2016-07-04,2017-07-04
81,Health Insurance,2040,2016-12-30,2017-12-30
81,Health Insurance,4602,2017-10-08,2018-10-08
81,Health Insurance,1094,2019-05-13,2020-05-12
81,Retirement Fund,3937,2019-09-30,2020-09-29
81,Life Insurance,3571,2020-11-24,2021-11-24
81,Health Insurance,4946,2022-05-06,2023-05-06
81,Life Insurance,3678,2023-06-14,2024-06-13
81,Life Insurance,1861,2024-04-22,2025-04-22
82,Life Insurance,2616,2014-12-05,2015-12-05
82,Life Insurance,3693,2016-03-30,2017-03-30
82,Life Insurance,1731,2017-05-04,2018-05-04
82,Life Insurance,2337,2018-07-03,2019-07-03
82,Retirement Fund,1904,2019-06-30,2020-06-29
82,Retirement Fund,2710,2020-06-18,2021-06-18
82,Retirement Fund,2198,2020-10-09,2021-10-09
82,Life Insurance,4457,2022-06-19,2023-06-19
82,Life Insurance,3738,2022-08-22,2023-08-22
82,Health Insurance,3278,2024-05-04,2025-05-04
83,Retirement Fund,3021,2015-03-14,2016-03-13
83,Retirement Fund,2340,2015-09-01,2016-08-31
83,Life Insurance,3614,2017-05-28,2018-05-28
83,Health Insurance,4844,2018-04-07,2019-04-07
83,Retirement Fund,1085,2018-12-14,2019-12-14
83,Retirement Fund,2064,2020-03-27,2021-03-27
83,Life Insurance,4038,2020-11-30,2021-11-30
83,Health Insurance,2428,2022-02-21,2023-02-21
83,Health Insurance,3401,2022-09-09,2023-09-09
83,Life Insurance,4199,2024-02-16,2025-02-15
84,Health Insurance,1298,2015-01-03,2016-01-03
84,Health Insurance,1093,2016-01-24,2017-01-23
84,Life Insurance,2038,2016-10-22,2017-10-22
84,Life Insurance,4973,2018-03-14,2019-03-14
84,Health Insurance,3354,2019-06-28,2020-06-27
84,Health Insurance,1208,2020-01-15,2021-01-14
84,Life Insurance,2843,2020-10-31,2021-10-31
84,Health Insurance,1054,2021-09-14,2022-09-14
84,Retirement Fund,2700,2023-02-13,2024-02-13
84,Health Insurance,1309,2023-09-07,2024-09-06
85,Health Insurance,3627,2015-07-06,2016-07-05
85,Life Insurance,3031,2015-11-15,2016-11-14
85,Life Insurance,3967,2016-11-17,2017-11-17
85,Life Insurance,2856,2017-09-25,2018-09-25
85,Life Insurance,4590,2018-10-05,2019-10-05
85,Retirement Fund,2814,2020-01-09,2021-01-08
85,Life Insurance,2743,2021-06-18,2022-06-18
85,Health Insurance,1859,2021-10-15,2022-10-15
85,Health Insurance,3951,2022-09-02,2023-09-02
85,Life Insurance,3950,2024-02-29,2025-02-28
86,Life Insurance,2714,2014-09-03,2015-09-03
86,Health Insurance,1294,2015-08-20,2016-08-19
86,Health Insurance,2283,2017-01-18,2018-01-18
86,Life Insurance,4385,2017-11-16,2018-11-16
86,Life Insurance,2136,2019-03-03,2020-03-02
86,Health Insurance,2770,2020-01-27,2021-01-26
86,Retirement Fund,2256,2020-08-11,2021-08-11
86,Retirement Fund,2397,2021-10-14,2022-10-14
86,Retirement Fund,2760,2023-07-28,2024-07-27
86,Life Insurance,1681,2024-03-06,2025-03-06
87,Life Insurance,3144,2015-05-31,2016-05-30
87,Life Insurance,4859,2016-03-25,2017-03-25
87,Life Insurance,4738,2016-11-09,2017-11-09
87,Retirement Fund,1221,2018-01-18,2019-01-18
87,Retirement Fund,4054,2018-11-12,2019-11-12
87,Health Insurance,3312,2020-02-22,2021-02-21
87,Retirement Fund,4207,2021-05-04,2022-05-04
87,Health Insurance,4874,2021-12-15,2022-12-15
87,Retirement Fund,1167,2023-06-14,2024-06-13
87,Retirement Fund,4102,2023-12-09,2024-12-08
88,Retirement Fund,4349,2015-07-22,2016-07-21
88,Retirement Fund,4981,2016-02-22,2017-02-21
88,Health Insurance,1387,2016-09-28,2017-09-28
88,Life Insurance,3140,2018-06-14,2019-06-14
88,Retirement Fund,4699,2018-10-12,2019-10-12
88,Retirement Fund,2268,2019-11-11,2020-11-10
88,Health Insurance,3210,2020-09-20,2021-09-20
88,Health Insurance,4789,2022-02-26,2023-02-26
88,Life Insurance,3152,2022-08-08,2023-08-08
88,Life Insurance,2174,2024-04-16,2025-04-16
89,Health Insurance,2989,2015-01-24,2016-01-24
89,Health Insurance,3307,2016-05-29,2017-05-29
89,Life Insurance,1929,2016-09-03,2017-09-03
89,Health Insurance,2799,2018-03-23,2019-03-23
89,Life Insurance,4594,2019-07-25,2020-07-24
89,Retirement Fund,2762,2020-06-27,2021-06-27
89,Health Insurance,2184,2021-01-24,2022-01-24
89,Retirement Fund,3461,2022-08-05,2023-08-05
89,Retirement Fund,3161,2023-01-14,2024-01-14
89,Health Insurance,4718,2023-11-18,2024-11-17
90,Retirement Fund,3306,2015-07-27,2016-07-26
90,Retirement Fund,1735,2016-05-27,2017-05-27
90,Retirement Fund,1643,2017-01-19,2018-01-19
90,Health Insurance,4768,2018-06-01,2019-06-01
90,Health Insurance,3714,2019-05-27,2020-05-26
90,Retirement Fund,4726,2020-05-20,2021-05-20
90,Life Insurance,3051,2021-01-16,2022-01-16
90,Retirement Fund,1659,2022-02-05,2023-02-05
90,Retirement Fund,1844,2023-07-10,2024-07-09
90,Life Insurance,2891,2024-06-21,2025-06-21
91,Health Insurance,2270,2015-06-19,2016-06-18
91,Retirement Fund,1565,2016-07-08,2017-07-08
91,Retirement Fund,2146,2017-05-26,2018-05-26
91,Life Insurance,1323,2017-11-21,2018-11-21
91,Life Insurance,3579,2019-06-16,2020-06-15
91,Health Insurance,2744,2020-01-04,2021-01-03
91,Retirement Fund,3358,2021-05-19,2022-05-19
91,Life Insurance,1617,2022-01-01,2023-01-01
91,Health Insurance,2094,2022-11-22,2023-11-22
91,Life Insurance,2697,2023-12-17,2024-12-16
92,Health Insurance,4336,2015-07-02,2016-07-01
92,Life Insurance,2791,2016-01-09,2017-01-08
92,Health Insurance,1030,2017-01-26,2018-01-26
92,Life Insurance,2995,2018-03-14,2019-03-14
92,Retirement Fund,1314,2019-01-04,2020-01-04
92,Retirement Fund,4110,2020-02-05,2021-02-04
92,Life Insurance,2377,2021-07-17,2022-07-17
92,Health Insurance,1528,2021-10-07,2022-10-07
92,Life Insurance,2180,2022-11-06,2023-11-06
92,Health Insurance,4333,2023-10-02,2024-10-01
93,Life Insurance,1121,2015-05-11,2016-05-10
93,Life Insurance,4506,2015-09-18,2016-09-17
93,Health Insurance,4866,2017-07-19,2018-07-19
93,Health Insurance,2409,2018-06-06,2019-06-06
93,Health Insurance,3440,2018-09-02,2019-09-02
93,Retirement Fund,3321,2020-07-28,2021-07-28
93,Life Insurance,3939,2021-06-13,2022-06-13
93,Health Insurance,4089,2022-02-09,2023-02-09
93,Retirement Fund,2611,2023-07-07,2024-07-06
93,Retirement Fund,3431,2024-01-11,2025-01-10
94,Health Insurance,2115,2015-05-15,2016-05-14
94,Health Insurance,4517,2016-06-04,2017-06-04
94,Health Insurance,3148,2017-04-26,2018-04-26
94,Life Insurance,2461,2018-06-02,2019-06-02
94,Life Insurance,4938,2018-12-22,2019-12-22
94,Health Insurance,4476,2019-10-15,2020-10-14
94,Life Insurance,4908,2021-05-01,2022-05-01
94,Life Insurance,2158,2022-05-23,2023-05-23
94,Health Insurance,1866,2022-11-04,2023-11-04
94,Retirement Fund,2119,2024-02-24,2025-02-23
95,Health Insurance,4650,2015-02-06,2016-02-06
95,Health Insurance,4747,2016-04-30,2017-04-30
95,Retirement Fund,2191,2017-01-21,2018-01-21
95,Life Insurance,2282,2018-02-06,2019-02-06
95,Retirement Fund,3245,2019-05-19,2020-05-18
95,Retirement Fund,1202,2020-01-10,2021-01-09
95,Retirement Fund,1463,2020-10-21,2021-10-21
95,Life Insurance,1788,2022-07-15,2023-07-15
95,Retirement Fund,1653,2023-06-03,2024-06-02
95,Life Insurance,2396,2024-02-02,2025-02-01
96,Life Insurance,2768,2014-12-23,2015-12-23
96,Health Insurance,4298,2015-11-10,2016-11-09
96,Health Insurance,2639,2016-10-09,2017-10-09
96,Retirement Fund,3430,2017-08-09,2018-08-09
96,Life Insurance,1654,2018-10-25,2019-10-25
96,Life Insurance,4558,2020-06-20,2021-06-20
96,Health Insurance,1851,2021-01-15,2022-01-15
96,Health Insurance,4013,2021-11-21,2022-11-21
96,Retirement Fund,1931,2022-09-12,2023-09-12
96,Health Insurance,4564,2024-08-01,2025-08-01
97,Life Insurance,2641,2014-08-22,2015-08-22
97,Retirement Fund,1723,2016-06-19,2017-06-19
97,Life Insurance,4272,2017-05-23,2018-05-23
97,Retirement Fund,2355,2017-09-05,2018-09-05
97,Retirement Fund,3789,2018-10-30,2019-10-30
97,Health Insurance,2454,2020-03-30,2021-03-30
97,Health Insurance,1874,2021-06-30,2022-06-30
97,Health Insurance,4806,2021-08-15,2022-08-15
97,Retirement Fund,2875,2022-10-30,2023-10-30
97,Retirement Fund,1439,2024-07-15,2025-07-15
98,Health Insurance,1266,2014-11-30,2015-11-30
98,Life Insurance,2522,2015-12-22,2016-12-21
98,Life Insurance,3899,2016-12-26,2017-12-26
98,Health Insurance,3639,2018-01-10,2019-01-10
98,Life Insurance,4826,2018-11-01,2019-11-01
98,Health Insurance,3668,2020-01-25,2021-01-24
98,Retirement Fund,2674,2021-06-14,2022-06-14
98,Health Insurance,2129,2021-10-15,2022-10-15
98,Life Insurance,1981,2023-04-05,2024-04-04
98,Health Insurance,3219,2023-09-16,2024-09-15
99,Life Insurance,3913,2015-02-21,2016-02-21
99,Retirement Fund,2836,2016-05-01,2017-05-01
99,Health Insurance,3637,2017-03-09,2018-03-09
99,Life Insurance,1939,2017-08-26,2018-08-26
99,Retirement Fund,1526,2019-03-28,2020-03-27
99,Life Insurance,2186,2020-05-24,2021-05-24
99,Retirement Fund,3105,2020-11-20,2021-11-20
99,Life Insurance,4380,2022-03-18,2023-03-18
99,Life Insurance,4535,2023-05-29,2024-05-28
99,Life Insurance,1706,2024-04-28,2025-04-28
100,Life Insurance,4646,2014-10-02,2015-10-02
100,Life Insurance,1028,2016-03-31,2017-03-31
100,Life Insurance,2482,2017-03-01,2018-03-01
100,Health Insurance,3094,2018-06-19,2019-06-19
100,Retirement Fund,4768,2018-09-22,2019-09-22
100,Health Insurance,1235,2020-01-10,2021-01-09
100,Health Insurance,4534,2021-04-05,2022-04-05
100,Retirement Fund,4776,2022-03-11,2023-03-11
100,Health Insurance,2924,2023-02-19,2024-02-19
100,Health Insurance,1674,2023-08-14,2024-08-13
